category,count
KIDNAPPING,52
WEAPON LAWS,341
SECONDARY CODES,257
WARRANTS,1169
PROSTITUTION,66
EMBEZZLEMENT,11
"SEX OFFENSES, NON FORCIBLE",3
LOITERING,8
SUICIDE,11
DRIVING UNDER THE INFLUENCE,60
ROBBERY,608
BURGLARY,675
SUSPICIOUS OCC,776
FAMILY OFFENSES,20
BRIBERY,20
FORGERY/COUNTERFEITING,106
BAD CHECKS,4
DRUNKENNESS,143
GAMBLING,5
OTHER OFFENSES,2915
FRAUD,391
ARSON,50
"SEX OFFENSES, FORCIBLE",184
DRUG/NARCOTIC,654
TRESPASS,226
LARCENY/THEFT,2402
VANDALISM,745
NON-CRIMINAL,2340
EXTORTION,6
LIQUOR LAWS,32
VEHICLE THEFT,1195
STOLEN PROPERTY,132
ASSAULT,2015
MISSING PERSON,580
DISORDERLY CONDUCT,143
RUNAWAY,10
